Category;Year;Filename;Offence/type;Cases;Offences;Attempted;Multiple;Solved;Total accused;<10;10-14;15-17;18-19;20-24;25-29;30-34;35-39;40-49;50-59;60-69;70-99;No information;Male;Female;Legal persons;No information_1;Total;Residents;Asylum I;Asylum II;Miscellaneous;No information_2
Life and Limb;2011;2011_swisscrime.csv;311.00.111.00 Homicide;200;229;184;3;222;253;0;1;15;16;48;44;32;21;42;23;4;7;0;226;27;0;0;151;78;26;1;44;2
Life and Limb;2011;2011_swisscrime.csv;311.00.116.00 Infanticide;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Life and Limb;2011;2011_swisscrime.csv;311.00.117.00 Homicide through negligence;36;37;0;0;26;34;0;0;0;2;3;0;6;4;6;4;4;4;0;25;8;1;0;6;2;0;0;4;0
Life and Limb;2011;2011_swisscrime.csv;311.00.118.00 Illegal abortion;6;6;0;1;6;8;0;0;0;0;2;2;1;0;3;0;0;0;0;4;4;0;0;8;6;2;0;0;0
Life and Limb;2011;2011_swisscrime.csv;311.00.122.00 Grievous bodily harm;406;487;73;11;407;513;0;16;72;59;112;70;51;35;57;31;5;3;2;466;46;0;1;268;177;51;4;33;3
Life and Limb;2011;2011_swisscrime.csv;311.00.123.00 Simply bodily harm;7756;9033;105;257;7445;7670;7;310;680;634;1304;1051;942;710;1213;529;212;74;4;6563;1105;0;2;3935;2986;310;44;517;78
Life and Limb;2011;2011_swisscrime.csv;311.00.125.00 Bodily harm through negligence;600;619;2;5;505;548;0;15;21;15;47;42;61;50;120;100;50;26;1;378;170;0;0;171;128;5;0;37;1
Life and Limb;2011;2011_swisscrime.csv;311.00.126.00 Assault;10445;12014;1;1444;10414;10009;6;406;651;469;1226;1305;1290;1115;2062;964;375;130;10;7850;2153;0;6;5005;4095;307;31;380;192
Life and Limb;2011;2011_swisscrime.csv;311.00.127.00 Endangering the life or health of another / Abandonment;8;9;0;0;7;6;0;0;0;0;0;0;2;1;2;1;0;0;0;4;2;0;0;3;X;X;X;X;X
Life and Limb;2011;2011_swisscrime.csv;311.00.128.00 Failure to offer aid in an emergency;85;90;0;0;73;90;0;2;8;4;17;8;10;6;14;14;3;3;1;71;19;0;0;33;20;2;0;11;0
Life and Limb;2011;2011_swisscrime.csv;311.00.128.A0 False alarm;87;88;0;5;65;69;0;3;8;9;20;9;2;7;6;3;0;2;0;57;12;0;0;31;19;7;1;4;0
Life and Limb;2011;2011_swisscrime.csv;311.00.129.00 Endangering life ;563;620;11;11;445;460;2;14;38;37;59;57;44;43;85;55;15;9;2;419;40;0;1;207;149;17;2;37;2
Life and Limb;2011;2011_swisscrime.csv;311.00.133.00 Participation brawl;233;1119;0;1;1078;1022;0;15;153;140;292;176;100;65;53;20;7;0;1;980;42;0;0;574;389;89;18;71;7
Life and Limb;2011;2011_swisscrime.csv;311.00.134.00 Participation attack;894;1905;3;4;1246;1099;0;82;299;208;241;121;60;37;33;12;3;3;0;1045;54;0;0;565;439;47;3;71;5
Life and Limb;2011;2011_swisscrime.csv;311.00.135.00 Representations of acts of violence;37;37;0;1;36;44;0;17;8;3;3;2;1;1;4;4;1;0;0;42;2;0;0;11;11;0;0;0;0
Life and Limb;2011;2011_swisscrime.csv;311.00.136.00 Administering substances capable of causing injury to children;87;101;4;11;82;81;0;3;13;17;12;6;4;7;11;8;0;0;0;60;21;0;0;19;13;4;0;2;0
Property;2011;2011_swisscrime.csv;311.00.137.00 Unlawful appropriation, including minor offences;2517;2524;8;3;454;506;0;17;56;43;77;63;49;44;81;50;23;3;0;393;113;0;0;253;164;30;6;49;4
Property;2011;2011_swisscrime.csv;311.00.138.00 Misappropriation;1891;2015;6;94;1794;1755;0;8;19;35;163;206;232;233;434;237;130;16;14;1329;396;28;2;857;630;20;0;182;25
Property;2011;2011_swisscrime.csv;311.00.139.00 Theft;64235;64513;333;333;7623;7005;1;408;727;535;1243;1034;780;638;941;461;163;60;5;5193;1802;9;1;4213;1774;700;96;1509;134
Property;2011;2011_swisscrime.csv;311.00.139.10 Burglary;52463;52735;15205;64;6060;3769;5;190;640;412;783;618;434;304;262;80;32;5;3;3403;365;1;0;2347;664;300;42;1185;156
Property;2011;2011_swisscrime.csv;311.00.139.71 Theft by secretly entering an unsecured place;12363;12437;364;59;1519;1465;1;142;266;142;279;190;142;113;116;42;21;9;2;1283;182;0;0;760;350;83;17;269;41
Property;2011;2011_swisscrime.csv;311.00.139.72 Snatch theft;2108;2123;78;0;213;205;0;7;39;26;43;31;28;11;13;4;2;0;1;199;6;0;0;146;49;42;2;48;5
Property;2011;2011_swisscrime.csv;311.00.139.74 Shoplifting;17659;17944;139;201;15288;11347;10;947;1195;688;1778;1725;1307;926;1369;754;371;264;9;7166;4176;4;1;7004;2094;1955;236;2077;642
Property;2011;2011_swisscrime.csv;311.00.139.75 Pickpocketing;27425;27450;131;8;818;853;0;10;45;59;202;163;146;102;97;16;6;6;1;618;235;0;0;797;70;136;19;541;31
Property;2011;2011_swisscrime.csv;311.00.139.76 Theft by false pretences;6580;6608;136;9;733;684;0;6;33;61;156;144;98;81;80;18;4;0;3;536;146;0;2;601;47;76;13;434;31
Property;2011;2011_swisscrime.csv;311.00.139.78 Theft from a co-tenant;89;91;0;6;80;80;0;4;12;10;15;16;5;4;8;5;1;0;0;55;25;0;0;40;26;3;0;11;0
Property;2011;2011_swisscrime.csv;311.00.139.80 Vehicle larceny;17271;17312;2460;14;1042;602;0;12;63;74;142;145;87;48;21;8;2;0;0;590;12;0;0;456;109;177;27;127;16
